"","X","Lng","Lat","Cid","tradeTime","DOM","followers","totalPrice","price","square","livingRoom","drawingRoom","kitchen","bathRoom","floor","buildingType","constructionTime","renovationCondition","buildingStructure","ladderRatio","elevator","fiveYearsProperty","subway","district","communityAverage"
"207834",207834,116.384761,39.844664,1111027378517,"2012-10-14",1,0,149.5,20673,72.32,2,1,1,1,18,"Tower",2002,"Other","Steel/Concrete",0.2,"Has_Elevator","Ownership > 5y","Has_Subway","FengTai",51027
"112793",112793,116.416156,40.082585,1111027380054,"2016-05-28",7,7,365,22967,158.93,3,2,1,2,13,"Plate",2003,"Simplicit","Mixed",0.5,"Has_Elevator","Ownership < 5y","Has_Subway","ChangPing",33820
"292529",292529,116.368,39.88052,1111027380566,"2015-12-26",7,0,364.5,61959,58.83,2,1,1,1,6,"Plate",1997,"Hardcover","Mixed",0.333,"No_elevator","Ownership < 5y","No_Subway","XiCheng",94989
"157331",157331,116.441781,39.991956,1111027379657,"2015-06-28",7,33,355.5,45126,78.78,2,1,1,1,24,"Tower",1998,"Simplicit","Steel/Concrete",0.167,"Has_Elevator","Ownership < 5y","No_Subway","ChaoYang",70655
"167877",167877,116.490126,39.920449,1111027376675,"2015-11-03",7,6,195,29568,65.95,2,1,1,1,22,"Tower",1992,"Hardcover","Steel/Concrete",0.25,"Has_Elevator","Ownership < 5y","No_Subway","ChaoYang",55778
"43423",43423,116.462543,39.933593,1111027380103,"2016-10-25",6,3,400,63868,62.63,1,0,1,1,22,"Plate/Tower",2003,"Hardcover","Steel/Concrete",0.214,"Has_Elevator","Ownership > 5y","Has_Subway","ChaoYang",74239
"51467",51467,116.568009,39.92418,1111027380318,"2016-12-20",9,17,340,52559,64.69,2,1,1,1,6,"Plate",1993,"Hardcover","Brick/Concrete",0.333,"No_elevator","Ownership < 5y","Has_Subway","ChaoYang",54777
"201325",201325,116.354548,39.733154,1111027374824,"2015-04-29",1,3,156.5,18480,84.69,3,1,1,1,6,"Plate",1994,"Simplicit","Mixed",0.5,"No_elevator","Ownership < 5y","No_Subway","FaXing",33298
"135688",135688,116.59247,39.926531,1111027375969,"2015-12-26",7,10,384,37930,101.24,2,2,1,2,11,"Plate",2002,"Other","Steel/Concrete",0.5,"Has_Elevator","Ownership < 5y","Has_Subway","ChaoYang",61359
"94849",94849,116.333765,40.07892,1111027378234,"2013-02-05",7,0,295,26688,110.54,2,2,1,1,7,"Plate",2005,"Other","Steel/Concrete",0.5,"No_elevator","Ownership < 5y","Has_Subway","ChangPing",52980
"207291",207291,116.356731,39.850714,1111027378045,"2012-03-02",7,0,177,24327,72.76,2,1,1,1,16,"Tower",2006,"Other","Steel/Concrete",0.25,"Has_Elevator","Ownership > 5y","Has_Subway","FengTai",71463
"170927",170927,116.441781,39.991956,1111027379657,"2015-12-28",7,39,444,50436,88.03,2,1,1,1,20,"Plate",2008,"Hardcover","Steel/Concrete",0.5,"Has_Elevator","Ownership > 5y","No_Subway","ChaoYang",70655
"123268",123268,116.516836,39.906378,1111027376303,"2012-09-22",7,0,220,21605,101.83,2,2,1,1,16,"Plate/Tower",2006,"Other","Steel/Concrete",0.4,"Has_Elevator","Ownership > 5y","No_Subway","ChaoYang",54817
"216888",216888,116.4047,39.81954,1111027375513,"2015-01-06",1,2,230,27372,84.03,3,1,1,1,6,"Plate",1998,"Simplicit","Mixed",0.5,"No_elevator","Ownership < 5y","No_Subway","FengTai",45239
"12479",12479,116.293444,40.037849,1111027382732,"2016-07-31",46,22,477,62435,76.4,3,1,1,1,6,"Plate",1995,"Hardcover","Mixed",0.5,"No_elevator","Ownership < 5y","No_Subway","HaiDian",65588
"88043",88043,116.421491,39.876487,1111027378726,"2017-12-12",18,67,370,54332,68.1,3,1,1,1,12,"Plate/Tower",1987,"Hardcover","Steel/Concrete",0.667,"Has_Elevator","Ownership < 5y","Has_Subway","FengTai",57838
"129811",129811,116.433365,40.048629,1111027376260,"2013-10-24",7,21,350.5,33670,104.1,3,1,1,1,12,"Plate",1999,"Other","Steel/Concrete",2,"Has_Elevator","Ownership < 5y","No_Subway","ChaoYang",50643
"1861",1861,116.430562,40.045549,1111027376255,"2016-06-24",107,49,418,38704,108,2,2,1,1,26,"Tower",2005,"Simplicit","Steel/Concrete",0.333,"Has_Elevator","Ownership > 5y","No_Subway","ChaoYang",52306
"255511",255511,116.1671,39.93639,1111027378400,"2014-12-18",7,1,140,24281,57.66,2,1,1,1,6,"Plate",1986,"Other","Steel/Concrete",0.333,"No_elevator","Ownership > 5y","No_Subway","ShiJingShan",44074
"215699",215699,116.2854,39.9002,1111027377405,"2014-09-16",7,1,376,29994,125.36,2,1,1,2,22,"Tower",2002,"Simplicit","Steel/Concrete",0.375,"Has_Elevator","Ownership < 5y","No_Subway","FengTai",51741
"215828",215828,116.3672,39.81553,1111027376436,"2015-04-09",1,16,160,28669,55.81,1,0,1,1,6,"Plate",2005,"Simplicit","Mixed",0.5,"No_elevator","Ownership < 5y","Has_Subway","FengTai",54824
"110066",110066,116.358104,40.087269,1111027378226,"2016-02-04",1,1,316,32213,98.1,2,1,1,1,6,"Plate",2004,"Hardcover","Steel/Concrete",0.5,"No_elevator","Ownership < 5y","Has_Subway","ChangPing",50663
"251979",251979,116.1952,39.93232,1111027382250,"2012-05-09",7,0,146,20409,71.54,2,1,1,1,20,"Tower",2001,"Other","Steel/Concrete",0.25,"Has_Elevator","Ownership < 5y","No_Subway","ShiJingShan",47095
"242165",242165,116.3364,39.94091,1111027379422,"2015-05-22",1,11,424,64438,65.8,3,1,1,1,6,"Plate",1993,"Simplicit","Mixed",0.5,"No_elevator","Ownership < 5y","Has_Subway","HaiDian",95291
"65700",65700,116.438901,39.970424,1111043443524,"2017-03-26",24,0,928,84951,109.24,2,1,1,1,22,"Plate/Tower",2012,"Hardcover","Steel/Concrete",0.333,"Has_Elevator","Ownership > 5y","Has_Subway","ChaoYang",80072
"153018",153018,116.521774,39.94004,1111027374654,"2015-02-01",1,0,335,34626,96.75,2,2,1,1,28,"Plate/Tower",2007,"Hardcover","Steel/Concrete",0.5,"Has_Elevator","Ownership < 5y","No_Subway","ChaoYang",62598
"155411",155411,116.534917,39.927474,1111027375643,"2015-10-25",7,1,220,28561,77.03,1,1,1,1,15,"Plate/Tower",2007,"Simplicit","Steel/Concrete",0.4,"Has_Elevator","Ownership < 5y","No_Subway","ChaoYang",56335
"151224",151224,116.439301,39.966627,1111027377813,"2014-12-21",1,4,215,38318,56.11,2,1,1,1,6,"Plate",1992,"Simplicit","Mixed",0.5,"No_elevator","Ownership < 5y","Has_Subway","ChaoYang",66892
"73169",73169,116.342117,40.089417,1111027375772,"2017-05-11",1,0,425,55195,77,2,1,1,1,7,"Plate",2003,"Other","Steel/Concrete",0.333,"No_elevator","Ownership > 5y","Has_Subway","ChangPing",46865
"262051",262051,116.6592,40.12888,1111027377430,"2014-07-19",7,1,137,24283,56.42,2,1,1,1,5,"Plate",1981,"Simplicit","Mixed",0.333,"No_elevator","Ownership < 5y","Has_Subway","MenTouGou",50837
"253819",253819,116.21,39.91974,1111027375873,"2013-08-17",7,0,187.5,31888,58.8,2,1,1,1,6,"Plate",1986,"Other","Mixed",0.333,"No_elevator","Ownership < 5y","No_Subway","ShiJingShan",47270
"261983",261983,116.6659,40.18675,1111027381403,"2014-08-16",7,0,337.5,21140,159.65,4,2,1,3,11,"Plate",2012,"Hardcover","Steel/Concrete",0.5,"Has_Elevator","Ownership > 5y","No_Subway","MenTouGou",43948
"292528",292528,116.3957,39.95752,1111027375570,"2016-03-05",1,7,540,84773,63.7,2,1,1,1,6,"Plate",1993,"Hardcover","Mixed",0.333,"No_elevator","Ownership < 5y","Has_Subway","XiCheng",122170
"66465",66465,116.175676,39.932521,1111027377065,"2017-03-10",5,0,430,54805,78.46,2,1,1,1,18,"Tower",2000,"Other","Steel/Concrete",0.25,"Has_Elevator","Ownership > 5y","Has_Subway","ShiJingShan",44300
"134627",134627,116.603852,39.893276,1111027375170,"2013-07-06",7,0,193,21066,91.62,2,1,1,1,6,"Plate",2008,"Other","Steel/Concrete",0.25,"Has_Elevator","Ownership > 5y","No_Subway","ChaoYang",48859
"254993",254993,116.2296,39.915,1111027378058,"2014-09-05",7,2,176,30101,58.47,2,1,1,1,16,"Tower",1987,"Simplicit","Steel/Concrete",0.286,"Has_Elevator","Ownership < 5y","Has_Subway","ShiJingShan",51471
"179480",179480,116.481385,39.874867,1111027378657,"2016-04-23",7,25,156,41270,37.8,1,1,1,1,7,"Plate",1995,"Simplicit","Mixed",0.25,"No_elevator","Ownership < 5y","Has_Subway","ChaoYang",59744
"27524",27524,116.612342,39.935122,1111041137077,"2016-08-31",16,191,298,33484,89,2,2,1,1,29,"Tower",2010,"Simplicit","Steel/Concrete",0.333,"Has_Elevator","Ownership < 5y","No_Subway","ChaoYang",44892
"11455",11455,116.402242,39.973402,1111027375610,"2016-07-03",24,24,362.5,63299,57.26,2,1,1,1,6,"Plate",1985,"Hardcover","Mixed",0.5,"No_elevator","Ownership > 5y","Has_Subway","ChaoYang",71475
"119581",119581,116.505098,39.918019,1111027373686,"2012-05-13",7,0,318,33002,96.36,2,2,1,1,16,"Plate",2006,"Other","Steel/Concrete",0.5,"Has_Elevator","Ownership > 5y","Has_Subway","ChaoYang",82664
"206335",206335,116.451194,39.854478,1111027374970,"2012-04-22",1,0,122,18787,64.94,1,1,1,1,24,"Tower",1999,"Other","Steel/Concrete",0.3,"Has_Elevator","Ownership > 5y","Has_Subway","FengTai",50026
"198074",198074,116.423905,39.791207,1111027374423,"2013-06-05",1,1,165,28119,58.68,1,1,1,1,6,"Plate",2004,"Other","Steel/Concrete",0.5,"No_elevator","Ownership < 5y","No_Subway","FaXing",44880
"30826",30826,116.395668,39.957522,1111027375570,"2016-08-31",3,7,556,102963,54,2,1,1,1,6,"Plate",1983,"Hardcover","Mixed",0.333,"No_elevator","Ownership < 5y","Has_Subway","XiCheng",122170
"276416",276416,116.3682,39.93506,1111027381854,"2012-08-26",7,1,540,54299,99.45,2,2,1,2,7,"Plate",2007,"Other","Steel/Concrete",0.333,"No_elevator","Ownership > 5y","Has_Subway","XiCheng",124854
"28978",28978,116.481662,39.878749,1111027379633,"2016-08-31",10,14,300,47620,63,2,1,1,1,6,"Plate",1995,"Hardcover","Mixed",0.25,"No_elevator","Ownership > 5y","Has_Subway","ChaoYang",59416
"197258",197258,116.334907,39.744008,1111027378789,"2013-05-07",7,2,318,18491,171.98,4,2,1,2,5,"Plate",2005,"Other","Mixed",0.5,"No_elevator","Ownership < 5y","Has_Subway","FaXing",45310
"267842",267842,116.6713,39.87568,1111027375320,"2013-04-03",7,0,170,18789,90.48,2,2,1,1,27,"Tower",2011,"Other","Steel/Concrete",0.3,"Has_Elevator","Ownership > 5y","No_Subway","TongZhou",54117
"45304",45304,116.338225,40.08248,1111027378113,"2016-11-18",16,6,445,45712,97.35,2,1,1,1,6,"Plate",2002,"Simplicit","Mixed",0.5,"No_elevator","Ownership < 5y","Has_Subway","ChangPing",43210
"14952",14952,116.364975,40.073376,1111027378909,"2016-07-14",20,9,272,30659,88.72,2,1,1,1,28,"Plate/Tower",2009,"Simplicit","Steel/Concrete",0.5,"Has_Elevator","Ownership > 5y","Has_Subway","ChangPing",44394
"65850",65850,116.489015,39.925221,1111027381816,"2017-03-29",26,8,420,76853,54.65,2,1,1,1,6,"Plate",1985,"Other","Brick/Concrete",0.5,"No_elevator","Ownership < 5y","Has_Subway","ChaoYang",60204
"183144",183144,116.508281,39.915816,1111027379834,"2016-05-21",1,13,342,38917,87.88,2,1,1,1,6,"Plate",2008,"Other","Steel/Concrete",0.25,"Has_Elevator","Ownership < 5y","Has_Subway","ChaoYang",58955
"198306",198306,116.348786,39.799417,1111045269268,"2013-07-06",7,0,290,28842,100.55,2,1,1,1,20,"Plate",2012,"Other","Steel/Concrete",0.333,"Has_Elevator","Ownership > 5y","No_Subway","FaXing",56080
"23524",23524,116.612765,39.905006,1111027374043,"2016-08-14",14,10,415,35170,118,3,2,1,2,15,"Plate/Tower",2007,"Hardcover","Steel/Concrete",0.333,"Has_Elevator","Ownership > 5y","No_Subway","ChaoYang",45447
"164245",164245,116.404579,39.978491,1111027375686,"2015-08-09",1,0,268,46191,58.02,2,1,1,1,6,"Plate",1985,"Simplicit","Steel/Concrete",0.5,"No_elevator","Ownership < 5y","Has_Subway","ChaoYang",72138
"260696",260696,116.5557,40.16206,1111027379605,"2013-03-29",1,0,248.6,16065,154.75,3,2,1,3,6,"Plate",2009,"Other","Brick/Concrete",0.5,"No_elevator","Ownership > 5y","No_Subway","MenTouGou",44235
"181756",181756,116.475053,39.885225,1111027378494,"2016-06-11",7,41,315,33362,94.42,3,1,1,1,18,"Tower",1998,"Simplicit","Steel/Concrete",0.2,"Has_Elevator","Ownership < 5y","Has_Subway","ChaoYang",54558
"102351",102351,116.429195,40.069019,1111027380041,"2015-02-08",7,2,213.9,23960,89.27,2,1,1,1,6,"Plate",1999,"Hardcover","Mixed",0.5,"No_elevator","Ownership < 5y","No_Subway","ChangPing",38983
"280496",280496,116.3841,39.89212,1111027382714,"2013-07-17",7,0,439,66698,65.82,2,1,1,1,20,"Plate/Tower",2011,"Other","Steel/Concrete",0.5,"Has_Elevator","Ownership < 5y","Has_Subway","XiCheng",143667
"81415",81415,116.394288,39.972468,1111027379523,"2017-10-11",49,44,750,126051,59.5,2,1,1,1,18,"Tower",1994,"Hardcover","Mixed",0.2,"Has_Elevator","Ownership < 5y","Has_Subway","XiCheng",117634
"162922",162922,116.512916,39.966511,1111027374215,"2015-07-26",7,4,257,31990,80.34,2,1,1,1,24,"Tower",2005,"Hardcover","Steel/Concrete",0.3,"Has_Elevator","Ownership < 5y","No_Subway","ChaoYang",57709
"263572",263572,116.6614,40.18056,1111027378374,"2015-08-05",7,1,159,16778,94.77,2,1,1,1,6,"Plate",1998,"Other","Brick/Concrete",0.5,"No_elevator","Ownership > 5y","No_Subway","MenTouGou",31282
"258479",258479,116.1629,39.93901,1111027378401,"2016-06-11",1,33,172,28023,61.38,2,1,1,1,6,"Plate",1991,"Hardcover","Mixed",0.333,"No_elevator","Ownership < 5y","No_Subway","ShiJingShan",39314
"127346",127346,116.569545,39.910974,1111027382009,"2012-12-19",7,0,250,20930,119.45,3,2,1,2,15,"Plate/Tower",2005,"Other","Steel/Concrete",0.333,"Has_Elevator","Ownership < 5y","No_Subway","ChaoYang",44599
"78081",78081,116.697838,40.110591,1111027374738,"2017-07-20",7,22,315,42197,74.65,3,2,1,2,6,"Plate",2007,"Simplicit","Mixed",0.5,"No_elevator","Ownership < 5y","No_Subway","MenTouGou",33443
"223130",223130,116.3778,39.84242,1111027374041,"2016-03-07",1,4,109.5,24910,43.96,1,1,1,1,21,"Tower",2009,"Other","Steel/Concrete",0.154,"Has_Elevator","Ownership > 5y","Has_Subway","FengTai",38915
"69069",69069,116.530268,39.931226,1111027381548,"2017-06-11",80,86,485,52948,91.6,2,1,1,1,24,"Tower",2001,"Hardcover","Steel/Concrete",0.2,"Has_Elevator","Ownership > 5y","Has_Subway","ChaoYang",49307
"250809",250809,116.1197,39.9345,1111027382024,"2015-07-05",7,2,197,19790,99.55,2,1,1,1,14,"Plate",2005,"Simplicit","Steel/Concrete",0.667,"Has_Elevator","Ownership < 5y","No_Subway","ShunYi",39294
"202569",202569,116.318055,39.770087,1111027377095,"2015-09-06",1,0,470,33840,138.89,3,2,1,2,16,"Plate",2012,"Other","Steel/Concrete",1,"Has_Elevator","Ownership > 5y","No_Subway","FaXing",52370
"289270",289270,116.3534,39.9452,1111027376754,"2015-10-28",7,59,398,52926,75.2,3,1,1,1,6,"Plate",1992,"Simplicit","Mixed",0.5,"No_elevator","Ownership < 5y","Has_Subway","XiCheng",96357
"123100",123100,116.511419,39.981872,1111027379180,"2012-09-02",7,0,239.5,22162,108.07,2,2,1,1,16,"Plate",2004,"Other","Steel/Concrete",0.333,"Has_Elevator","Ownership > 5y","No_Subway","ChaoYang",48169
"207865",207865,116.258053,39.844492,1111027374375,"2012-08-27",1,0,90,18164,49.55,2,1,1,1,6,"Plate",1990,"Other","Mixed",0.5,"No_elevator","Ownership < 5y","No_Subway","FengTai",44242
"57017",57017,116.362276,39.909851,1111027374404,"2017-02-17",35,2,650,134076,48.48,1,1,1,1,12,"Tower",1984,"Simplicit","Steel/Concrete",0.125,"Has_Elevator","Ownership > 5y","Has_Subway","XiCheng",125589
"227675",227675,116.3358,39.90731,1111027379798,"2012-12-16",7,0,193,37770,51.1,1,1,1,1,6,"Plate",1983,"Other","Mixed",0.333,"No_elevator","Ownership < 5y","Has_Subway","HaiDian",74493
"59",59,116.474383,39.902184,1111027375650,"2016-06-29",451,43,406,63577,63.86,1,1,1,1,16,"Plate/Tower",2007,"Hardcover","Steel/Concrete",0.25,"Has_Elevator","Ownership > 5y","Has_Subway","ChaoYang",91192
"116847",116847,116.42537,40.052808,1111027376257,"2012-05-07",7,0,176,23010,76.49,1,1,1,1,25,"Tower",2006,"Other","Steel/Concrete",0.3,"Has_Elevator","Ownership > 5y","Has_Subway","ChaoYang",60785
"285366",285366,116.3442,39.93512,1111027376190,"2014-12-14",7,0,243.8,60799,40.1,1,1,1,1,6,"Plate",1993,"Simplicit","Mixed",0.5,"No_elevator","Ownership < 5y","Has_Subway","XiCheng",100448
"250305",250305,116.3384,39.93469,1111027377332,"2016-06-05",1,15,820,87720,93.48,3,1,1,1,24,"Tower",2000,"Simplicit","Steel/Concrete",0.111,"No_elevator","Ownership < 5y","Has_Subway","HaiDian",96480
"41296",41296,116.453783,39.887599,1111027377333,"2016-11-28",50,25,370,60271,61.39,3,0,1,1,6,"Plate",1980,"Rough","Brick/Concrete",0.333,"No_elevator","Ownership < 5y","No_Subway","ChaoYang",58976
"196305",196305,116.346109,39.756539,1111027375859,"2012-09-22",1,0,116,16619,69.8,2,2,1,1,6,"Plate",2001,"Other","Mixed",0.5,"No_elevator","Ownership > 5y","No_Subway","FaXing",39243
"100630",100630,116.445785,40.077726,1111027380050,"2014-11-07",7,9,226.5,15259,148.44,3,2,1,2,6,"Plate",2002,"Hardcover","Mixed",0.5,"No_elevator","Ownership < 5y","No_Subway","ChangPing",36411
"194848",194848,116.341759,39.755588,1111027376441,"2011-10-02",7,0,150,17440,86.01,2,1,1,1,18,"Plate/Tower",2007,"Other","Steel/Concrete",0.333,"Has_Elevator","Ownership > 5y","Has_Subway","FaXing",46505
"77178",77178,116.335484,40.09232,1111027381985,"2017-07-17",16,88,434.5,45680,95.12,2,1,1,1,7,"Plate",2000,"Hardcover","Mixed",0.5,"No_elevator","Ownership < 5y","Has_Subway","ChangPing",45871
"53000",53000,116.310955,39.937801,1111027381130,"2017-01-22",33,22,545,129454,42.1,1,1,1,1,18,"Tower",1991,"Hardcover","Steel/Concrete",0.286,"Has_Elevator","Ownership < 5y","Has_Subway","HaiDian",103248
"64614",64614,116.482395,39.988178,1111027382476,"2017-03-05",8,13,434,77404,56.07,2,1,1,1,6,"Plate",1993,"Hardcover","Mixed",0.333,"No_elevator","Ownership > 5y","Has_Subway","ChaoYang",70268
"166594",166594,116.57395,39.92878,1111027376842,"2015-09-16",7,0,283,25432,111.28,3,1,1,1,18,"Plate/Tower",2006,"Simplicit","Steel/Concrete",0.5,"Has_Elevator","Ownership < 5y","Has_Subway","ChaoYang",44000
"167481",167481,116.480675,39.868869,1111027382783,"2016-03-05",7,36,156,32440,48.09,1,1,1,1,6,"Plate",2005,"Simplicit","Mixed",0.25,"No_elevator","Ownership < 5y","No_Subway","ChaoYang",60403
"177882",177882,116.504397,39.92941,1111027376016,"2016-02-29",1,3,268,47969,55.87,2,1,1,1,6,"Plate",1994,"Hardcover","Mixed",0.333,"No_elevator","Ownership < 5y","Has_Subway","ChaoYang",56893
"233614",233614,116.3549,40.04067,1111027382106,"2013-08-17",7,3,285,32846,86.77,2,1,1,1,16,"Tower",2003,"Other","Steel/Concrete",0.167,"Has_Elevator","Ownership < 5y","Has_Subway","HaiDian",60688
"31828",31828,116.364975,40.073376,1111027378909,"2016-09-05",5,9,312,34978,89.2,2,1,1,1,28,"Plate/Tower",2009,"Other","Steel/Concrete",0.5,"Has_Elevator","Ownership < 5y","Has_Subway","ChangPing",44394
"9458",9458,116.450137,39.87191,1111027374710,"2016-08-17",81,55,558,43509,128.25,3,2,1,2,22,"Tower",2001,"Simplicit","Steel/Concrete",0.375,"Has_Elevator","Ownership > 5y","Has_Subway","ChaoYang",59021
"288020",288020,116.399,39.96307,1111027375568,"2015-05-18",7,3,421,83367,50.5,2,1,1,1,5,"Plate",1977,"Simplicit","Mixed",0.333,"No_elevator","Ownership < 5y","Has_Subway","XiCheng",131028
"10884",10884,116.497474,39.810115,1111027377957,"2016-07-14",38,37,103,28461,36.19,1,0,1,1,24,"Tower",2009,"Hardcover","Steel/Concrete",0.25,"Has_Elevator","Ownership > 5y","Has_Subway","DaXing",54282
"75082",75082,116.504579,39.795716,1111027379288,"2017-06-22",17,0,289,67069,43.09,1,0,1,1,9,"Plate",2006,"Other","Steel/Concrete",0.086,"Has_Elevator","Ownership > 5y","No_Subway","DaXing",54918
"212703",212703,116.4304,39.86457,1111027374316,"2013-09-01",1,4,380,25566,148.64,3,2,1,2,31,"Tower",2000,"Other","Steel/Concrete",0.375,"Has_Elevator","Ownership < 5y","Has_Subway","FengTai",49788
"126030",126030,116.511545,39.904464,1111027378350,"2012-11-12",7,0,243,28812,84.34,2,1,1,1,8,"Plate",2009,"Other","Steel/Concrete",0.5,"Has_Elevator","Ownership > 5y","No_Subway","ChaoYang",59025
"220171",220171,116.2479,39.83998,1111027381423,"2015-09-02",7,4,199,21669,91.84,2,1,1,1,22,"Plate/Tower",2007,"Other","Steel/Concrete",0.4,"Has_Elevator","Ownership < 5y","No_Subway","FengTai",39342
"113909",113909,116.470534,39.984906,1111027374463,"2012-01-07",7,0,286,19909,143.66,3,2,1,2,24,"Tower",2001,"Other","Steel/Concrete",0.3,"Has_Elevator","Ownership < 5y","No_Subway","ChaoYang",63597
"140010",140010,116.419299,39.99709,1111027375598,"2014-08-05",7,3,170,38725,43.9,1,1,1,1,6,"Plate",1989,"Other","Mixed",0.5,"No_elevator","Ownership > 5y","Has_Subway","ChaoYang",74729
"101140",101140,116.432684,40.077562,1111027380057,"2015-04-02",7,8,355.5,22244,159.82,3,2,1,2,15,"Plate",2008,"Hardcover","Steel/Concrete",0.5,"Has_Elevator","Ownership < 5y","No_Subway","ChangPing",38384
"290438",290438,116.3432,39.90053,1111027378998,"2015-11-28",7,12,145,50842,28.52,1,0,1,1,20,"Tower",2004,"Other","Steel/Concrete",0.121,"Has_Elevator","Ownership > 5y","Has_Subway","XiCheng",92360
"67164",67164,116.459932,39.929704,1111027378480,"2017-05-05",56,54,590,92289,63.93,2,1,1,1,6,"Plate",1989,"Hardcover","Mixed",0.333,"No_elevator","Ownership < 5y","Has_Subway","ChaoYang",86459
"33943",33943,116.463907,40.007017,1111027379082,"2016-09-22",14,17,404.4,64927,62.28,1,1,1,1,24,"Tower",2001,"Hardcover","Steel/Concrete",0.25,"Has_Elevator","Ownership > 5y","No_Subway","ChaoYang",59023
"198829",198829,116.423905,39.791207,1111027374423,"2013-10-13",7,12,278,30221,91.99,2,2,1,1,6,"Plate",2004,"Other","Steel/Concrete",0.5,"No_elevator","Ownership < 5y","No_Subway","FaXing",44880
"193763",193763,116.417991,39.956806,1111027375656,"2016-02-27",1,1,498,77102,64.59,2,1,1,1,16,"Tower",1992,"Other","Mixed",0.286,"Has_Elevator","Ownership < 5y","Has_Subway","DongCheng",97274
"92243",92243,116.343992,40.078436,1111027379397,"2012-10-07",7,0,97,18990,51.08,1,0,1,1,19,"Tower",2011,"Other","Steel/Concrete",0.235,"Has_Elevator","Ownership > 5y","Has_Subway","ChangPing",54156
"287487",287487,116.3432,39.90053,1111027378998,"2015-05-12",1,7,112,46609,24.03,1,0,1,1,26,"Tower",2006,"Hardcover","Steel/Concrete",0.111,"Has_Elevator","Ownership < 5y","Has_Subway","XiCheng",92360
"90514",90514,116.332045,40.081334,1111027377891,"2011-12-03",7,0,100,17074,58.57,2,1,1,1,6,"Plate",1994,"Other","Mixed",0.5,"No_elevator","Ownership < 5y","No_Subway","ChangPing",48852
"253900",253900,116.1884,39.93592,1111027378716,"2014-01-12",7,21,220,29432,74.75,2,1,1,1,16,"Tower",1994,"Other","Steel/Concrete",0.286,"Has_Elevator","Ownership < 5y","Has_Subway","ShiJingShan",45610
"163970",163970,116.471971,39.928354,1111027375081,"2015-08-03",1,1,278,43088,64.52,3,1,1,1,6,"Plate",1987,"Hardcover","Mixed",0.333,"No_elevator","Ownership < 5y","Has_Subway","ChaoYang",70221
"45711",45711,116.568799,39.853078,1111027374302,"2017-03-06",122,75,445,59740,74.49,1,1,1,1,18,"Plate",2008,"Hardcover","Steel/Concrete",0.667,"Has_Elevator","Ownership > 5y","No_Subway","ChaoYang",48906
"97685",97685,116.416156,40.082585,1111027380054,"2013-10-11",7,16,325,19172,169.52,3,2,1,2,13,"Plate",2003,"Other","Mixed",0.5,"Has_Elevator","Ownership < 5y","Has_Subway","ChangPing",33820
"133493",133493,116.499979,39.966803,1111027377461,"2013-08-13",7,1,199.5,33797,59.03,2,1,1,1,6,"Plate",1994,"Other","Mixed",0.5,"No_elevator","Ownership < 5y","Has_Subway","ChaoYang",55082
"217173",217173,116.3686,39.87211,1111027381849,"2015-05-11",1,3,220,35088,62.7,2,1,1,1,18,"Tower",1993,"Simplicit","Steel/Concrete",0.25,"Has_Elevator","Ownership < 5y","No_Subway","FengTai",63326
"207405",207405,116.441734,39.869615,1111027374410,"2012-02-25",7,0,121,24644,49.1,1,1,1,1,25,"Tower",1992,"Other","Steel/Concrete",0.25,"Has_Elevator","Ownership < 5y","Has_Subway","FengTai",62858
"279652",279652,116.3749,39.90954,1111027381284,"2013-05-25",1,0,348,71312,48.8,1,1,1,1,16,"Tower",1989,"Other","Mixed",0.2,"Has_Elevator","Ownership < 5y","Has_Subway","XiCheng",133064
"120934",120934,116.391353,39.99299,1111027375317,"2013-03-25",7,0,750,42600,176.06,3,2,1,2,32,"Tower",2000,"Other","Steel/Concrete",0.5,"Has_Elevator","Ownership > 5y","Has_Subway","ChaoYang",62705
"125973",125973,116.419527,39.992097,1111027375673,"2012-11-11",7,0,250,36396,68.69,2,1,1,1,6,"Plate",1990,"Other","Mixed",0.333,"No_elevator","Ownership > 5y","Has_Subway","ChaoYang",72139
"121202",121202,116.445582,39.974979,1111027380573,"2012-08-15",7,0,147,31805,46.22,1,1,1,1,16,"Tower",1988,"Other","Steel/Concrete",0.286,"Has_Elevator","Ownership < 5y","Has_Subway","ChaoYang",66102
"26469",26469,116.670101,40.118729,1111027379626,"2016-08-20",9,17,242,29077,83.23,2,1,1,1,6,"Plate",1999,"Hardcover","Mixed",0.5,"No_elevator","Ownership < 5y","No_Subway","MenTouGou",34694
"29171",29171,116.465341,39.997219,1111027375066,"2016-08-25",4,0,595,45922,129.57,3,2,1,1,6,"Plate",1999,"Other","Mixed",0.5,"No_elevator","Ownership > 5y","No_Subway","ChaoYang",61281
"154394",154394,116.51152,39.901436,1111027381719,"2015-03-29",7,1,356,35071,101.51,2,1,1,1,14,"Plate",2007,"Hardcover","Steel/Concrete",0.4,"Has_Elevator","Ownership < 5y","Has_Subway","ChaoYang",62702
"272096",272096,116.6754,39.8936,1111027378205,"2015-07-12",1,0,228.6,23543,97.1,2,1,1,1,13,"Plate/Tower",2004,"Simplicit","Steel/Concrete",0.5,"Has_Elevator","Ownership < 5y","Has_Subway","TongZhou",44910
